NPF,PUMA,WGTP
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,0
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,48
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,55
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
N,48-02510,46
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
8,48-02510,71
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,0
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,24
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,42
N,48-02507,55
N,48-02507,55
N,48-02507,55
N,48-02507,55
N,48-02507,55
N,48-02507,55
N,48-02507,55
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,70
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,74
N,48-02507,255
N,48-02507,252
N,48-02507,244
N,48-02507,247
N,48-02507,229
N,48-02507,236
N,48-02507,224
N,48-02507,206
N,48-02507,207
N,48-02507,200
N,48-02507,194
N,48-02507,200
N,48-02507,200
N,48-02507,196
N,48-02507,193
N,48-02507,195
N,48-02507,134
N,48-02507,131
N,48-02507,139
N,48-02507,132
N,48-02507,131
N,48-02507,129
N,48-02507,131
N,48-02507,170
N,48-02507,175
N,48-02507,173
N,48-02507,175
N,48-02507,173
N,48-02507,171
N,48-02507,174
N,48-02507,174
N,48-02507,169
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
8,48-02507,213
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,0
N,48-02102,7
N,48-02102,5
N,48-02102,4
N,48-02102,7
N,48-02102,7
N,48-02102,9
N,48-02102,9
N,48-02102,9
N,48-02102,8
N,48-02102,9
N,48-02102,8
N,48-02102,8
N,48-02102,8
N,48-02102,9
N,48-02102,8
N,48-02102,9
N,48-02102,8
N,48-02102,9
N,48-02102,9
N,48-02102,9
N,48-02102,8
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
N,48-02102,59
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
8,48-02102,65
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,0
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,19
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
N,48-02101,55
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
8,48-02101,15
N,48-02102,171
N,48-02102,162
N,48-02102,161
N,48-02102,161
N,48-02102,168
N,48-02102,172
N,48-02102,173
N,48-02102,172
N,48-02102,174
N,48-02102,162
N,48-02102,166
N,48-02102,132
N,48-02102,136
N,48-02102,135
N,48-02102,132
N,48-02102,139
N,48-02102,134
N,48-02102,141
N,48-02102,143
N,48-02102,131
N,48-02102,134
N,48-02102,141
N,48-02102,132
N,48-02102,135
N,48-02102,246
N,48-02102,247
N,48-02102,248
N,48-02102,245
N,48-02102,252
N,48-02102,224
N,48-02102,242
N,48-02102,233
N,48-02102,225
N,48-02101,135
N,48-02101,146
N,48-02101,147
N,48-02101,155
N,48-02101,141
N,48-02101,138
N,48-02101,137
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02101,264
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,271
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
8,48-02102,353
N,48-02507,358
N,48-02507,383
N,48-02507,363
N,48-02507,331
N,48-02507,325
N,48-02507,322
N,48-02507,356
N,48-02507,269
N,48-02507,257
N,48-02507,260
N,48-02507,257
N,48-02507,281
N,48-02507,284
N,48-02507,280
N,48-02507,281
N,48-02507,256
N,48-02507,268
N,48-02507,257
N,48-02507,262
N,48-02507,283
N,48-02507,269
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,0
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,45
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,46
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,47
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,52
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,49
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
N,48-02515,50
